Threads,Run,Time (s)
2,1,0:02.04
2,2,0:02.07
2,3,0:02.01
2,4,0:02.00
2,5,0:02.07
2,6,0:01.99
2,7,0:02.00
2,8,0:02.04
2,9,0:02.02
2,10,0:02.75
4,1,0:01.00
4,2,0:01.00
4,3,0:01.03
4,4,0:01.08
4,5,0:01.01
4,6,0:01.00
4,7,0:01.01
4,8,0:01.01
4,9,0:01.00
4,10,0:01.00
8,1,0:00.58
8,2,0:00.58
8,3,0:00.59
8,4,0:00.58
8,5,0:00.59
8,6,0:00.58
8,7,0:00.65
8,8,0:00.73
8,9,0:00.73
8,10,0:00.81
16,1,0:00.78
16,2,0:00.75
16,3,0:00.74
16,4,0:00.74
16,5,0:00.72
16,6,0:00.75
16,7,0:00.75
16,8,0:00.73
16,9,0:00.75
16,10,0:00.76
32,1,0:01.97
32,2,0:01.52
32,3,0:01.61
32,4,0:01.79
32,5,0:01.51
32,6,0:01.77
32,7,0:01.67
32,8,0:01.75
32,9,0:01.40
32,10,0:01.63
